Número Flotante,Total Completados,Tiempo/Número (s),ETA (s)
1,1,1.1342532634735107,11341.398381471634
2,2,1.0086619853973389,10084.602530002594
3,3,0.9668753941853842,9665.853315671286
4,4,0.9460015296936035,9456.23129081726
5,5,0.9332982063293457,9328.31557226181
6,6,0.9252035617828369,9246.484396457672
7,7,0.9192055293491909,9185.620854786464
8,8,0.9153008162975311,9145.685756444931
9,9,0.9117440117730035,9109.234421624078
10,10,0.9093449354171753,9084.355904817581
11,11,0.907452713359486,9064.545153747906
12,12,0.9058984120686849,9048.113339742025
13,13,0.9045984011430007,9034.224232215149
14,14,0.9036681822368077,9024.030467816761
15,15,0.9031933943430582,9018.386042515436
16,16,0.9023513942956924,9009.076320648193
17,17,0.9016624057994169,9001.29579709558
18,18,0.9009880357318454,8993.66257267528
19,19,0.9009399915996351,8992.282056155958
20,20,0.9004581570625305,8986.572407484055
21,21,0.899915751956758,8980.259288776488
22,22,0.8993707786906849,8973.921629775654
23,23,0.8989101596500563,8968.426662828611
24,24,0.8984440366427103,8962.877709547678
25,25,0.898069543838501,8958.243699789047
26,26,0.8977284981654241,8953.94404070194
27,27,0.8974280622270372,8950.050064590241
28,28,0.897121616772243,8946.096762452808
29,29,0.896862556194437,8942.61654781473
30,30,0.8966187556584676,8939.288993914923
31,31,0.8965280132908975,8937.487764496957
32,32,0.8965496644377708,8936.8070551157
33,33,0.8962918194857511,8933.340564814482
34,34,0.8961125542135799,8930.657715292538
35,35,0.8959054742540632,8927.698050941739
36,36,0.8957008918126425,8924.76368602117
37,37,0.8955361585359316,8922.226747493487
38,38,0.8953563351380197,8919.539810644952
39,39,0.8951791922251383,8916.879933754602
40,40,0.8950419247150421,8914.61757016182
41,41,0.8949434292025682,8912.741611428377
42,42,0.8949105569294521,8911.519325903484
43,43,0.8948689006095709,8910.209643369497
44,44,0.8948634537783536,8909.26054581729
45,45,0.8948896990882026,8908.626954423056
46,46,0.8950789855874103,8909.616222537083
47,47,0.8951121340406701,8909.05107010679
48,48,0.8951231042544047,8908.265133539835
49,49,0.8951213408489617,8907.352462788018
50,50,0.895108790397644,8906.332464456558
51,51,0.8951336916755227,8905.685098479775
52,52,0.8951755349452679,8905.206221635524
53,53,0.8952275447125705,8904.828387255939
54,54,0.8952739106284248,8904.394315110312
55,55,0.8952803828499534,8903.563407442787
56,56,0.8952595676694598,8902.461140905109
57,57,0.8952685280850059,8901.654974749214
58,58,0.8952680908400437,8900.755359131714
59,59,0.8952664722830562,8899.844000965863
60,60,0.8953280329704285,8899.560647726059
61,61,0.8954369748224977,8899.748092760805
62,62,0.8956074599296816,8900.546936781177
63,63,0.8958766044132294,8902.32581805426
64,64,0.896048691123724,8903.139795005322
65,65,0.8961795806884766,8903.544134140015
66,66,0.8964070515199141,8904.907649798826
67,67,0.8964716249437474,8904.652650566244
68,68,0.8965393374947941,8904.428699998294
69,69,0.8966403249381245,8904.535066960514
70,70,0.896730181149074,8904.530698810304
71,71,0.8968806971966381,8905.12844246542
72,72,0.8969194193681082,8904.615995486578
73,73,0.8969886074327442,8904.405905984851
74,74,0.897036481548,8903.984115845447
75,75,0.8971232223510742,8903.947981834412
76,76,0.8972252701458178,8904.063580927095
77,77,0.8973773764325427,8904.67570634012
78,78,0.8974899787169236,8904.895568829315
79,79,0.8976259774799589,8905.347322578671
80,80,0.8977509945631027,8905.689866065979
81,81,0.8978655573762493,8905.928463615017
82,82,0.8981155593220781,8907.51011735637
83,83,0.8982419594224677,8907.865511592612
84,84,0.8984033380235944,8908.567499841962
85,85,0.8985352684469784,8908.977186651791
86,86,0.8986896082412364,8909.608776103618
87,87,0.8988186682777843,8909.989458637676
88,88,0.8989541828632355,8910.43386054039
89,89,0.8990667080611325,8910.650143593884
90,90,0.8991779459847344,8910.853444708719
91,91,0.8992822275056944,8910.987592353926
92,92,0.89940185132234,8911.273542901745
93,93,0.8995722519454136,8912.062300023212
94,94,0.8996827577022796,8912.257397798781
95,95,0.8998211634786506,8912.728624256035
96,96,0.8999650776386261,8913.254128932953
97,97,0.9000917931192929,8913.609027260358
98,98,0.9002451945324333,8914.227916260155
99,99,0.9003959809890901,8914.820607772981
100,100,0.9005706834793091,8915.64976644516
101,101,0.9007213635019736,8916.240777306037
102,102,0.9008718612147313,8916.82968230341
103,103,0.901043095634979,8917.623517499387
104,104,0.9012376964092255,8918.648243665695
105,105,0.9013730684916178,8919.086512724558
106,106,0.9015456842926314,8919.893000391296
107,107,0.9017114884385439,8920.631755122515
108,108,0.9018654955757989,8921.253482235803
109,109,0.9020212505935529,8921.892189620832
110,110,0.9021713603626598,8922.474753986706
111,111,0.9023117653958432,8922.961047999494
112,112,0.9024584463664463,8923.509117671421
113,113,0.9026262971152247,8924.266199578227
114,114,0.9027900758542513,8924.982689895129
115,115,0.9029468308324399,8925.629422778668
116,116,0.9030778675243772,8926.021642610945
117,117,0.9032231701744927,8926.554590834512
118,118,0.9033727059930058,8927.129080622883
119,119,0.9035661861676128,8928.137485522182
120,120,0.9037416577339172,8928.967578411102
121,121,0.9039003198797052,8929.631260091608
122,122,0.9040133542701846,8929.843913480883
123,123,0.9041441630541793,8930.231898486129
124,124,0.9042882669356561,8930.75092425654
125,125,0.9044065704345703,8931.014883041382
126,126,0.904532619885036,8931.355088744845
127,127,0.9046766814284437,8931.872875743025
128,128,0.9048186261206865,8932.369477063417
129,129,0.9049797446228737,8933.055059172386
130,130,0.9051466575035683,8933.79750956022
131,131,0.9053582435345832,8934.980505442802
132,132,0.9054794871445858,8935.271579142773
133,133,0.9056142219027182,8935.69552751412
134,134,0.9057461343594452,8936.091361590286
135,135,0.9058726964173494,8936.43415015715
136,136,0.9059690026675954,8936.47824231316
137,137,0.9060842329568236,8936.708789653152
138,138,0.9061969121297201,8936.9139474233
139,139,0.9062996305150094,8937.020656508508
140,140,0.9064153790473938,8937.255637407303
141,141,0.9065401029924974,8937.578875403033
142,142,0.9066574657467049,8937.829297331016
143,143,0.9067730286738256,8938.061743637898
144,144,0.9069102588627074,8938.507511350845
145,145,0.9070427911034946,8938.906706324939
146,146,0.9071592190494276,8939.14694451306
147,147,0.9072622231074742,8939.254684277943
148,148,0.9073535961073798,8939.247628849906
149,149,0.907454714679078,8939.336394303598
150,150,0.9075584077835083,8939.450316667557
151,151,0.9076827867141622,8939.767766347784
152,152,0.9078185307352167,8940.196890680414
153,153,0.9079352999045178,8940.438898159788
154,154,0.9080495307971905,8940.655680229138
155,155,0.9081450293141027,8940.68781359734
156,156,0.9082681582524226,8940.991749836849
157,157,0.9084411092624542,8941.785838470338
158,158,0.9086083294470099,8942.52317841747
159,159,0.9087197195808843,8942.710760395483
160,160,0.9088521018624306,8943.104682326317
161,161,0.9090081490344882,8943.73117835033
162,162,0.909163835607929,8944.353814710807
163,163,0.9092713075181458,8944.501852056
164,164,0.9093872105203024,8944.732602677694
165,165,0.9095059235890707,8944.99075849851
166,166,0.9096390798867467,8945.390711606267
167,167,0.9097739864966112,8945.807609221178
168,168,0.9099741053013575,8946.865403322947
169,169,0.9100989180909106,8947.182463751742
170,170,0.9102176750407499,8947.439745650572
171,171,0.910320648672985,8947.54165580677
172,172,0.9104201433270477,8947.609168618224
173,173,0.9105501684839326,8947.976505691606
174,174,0.910675912067808,8948.301511978281
175,175,0.9108061381748744,8948.670307568142
176,176,0.9109140485525131,8948.819612979889
177,177,0.9110233150633041,8948.982023866836
178,178,0.9111358985472261,8949.176795530855
179,179,0.9112934719916829,8949.813188430317
180,180,0.9113899601830376,8949.84940899743
181,181,0.9115079331793179,8950.096395887722
182,182,0.9116197562479711,8950.28276684258
183,183,0.9117576515739733,8950.724865501696
184,184,0.9118654753850854,8950.87150638
185,185,0.9120131273527403,8951.408844967145
186,186,0.9121115938309701,8951.46318185714
187,187,0.9122059332495704,8951.476822978035
188,188,0.9122945438040063,8951.43406380491
189,189,0.9124058037207871,8951.613340304642
190,190,0.9125252886822349,8951.873081972724
191,191,0.9126313980961345,8952.001383924982
192,192,0.9127444438636303,8952.197505414486
193,193,0.9128857128360729,8952.670185783367
194,194,0.912996037719176,8952.83914587424
195,195,0.9131132284800212,8953.075205246607
196,196,0.9132013625028182,8953.02615797763
197,197,0.9132870829044865,8952.953273712681
198,198,0.913383510377672,8952.98516872194
199,199,0.9134748221641809,8952.966732031136
200,200,0.9135817408561706,8953.101060390472
201,201,0.9137431709327508,8953.769331970025
202,202,0.9138394358134506,8953.79879210019
203,203,0.9139280084318715,8953.752698607044
204,204,0.9140417634272108,8953.953114532957
205,205,0.9141518592834472,8954.117461681366
206,206,0.9142485556093235,8954.150353637715
207,207,0.9143403889476389,8954.135428964228
208,208,0.9144171052254163,8953.972294367277
209,209,0.9145452189103268,8954.312238351009
210,210,0.9146621352150327,8954.54230375517
211,211,0.9147517590726156,8954.504969561835
212,212,0.9148645277293224,8954.693997414608
213,213,0.9149484477692367,8954.60045831752
214,214,0.9150322831679727,8954.50592308178
215,215,0.9151064462439958,8954.3165764975
216,216,0.9152344244497793,8954.653608816641
217,217,0.9153442701436407,8954.812994815236
218,218,0.9154313594923107,8954.749558553784
219,219,0.9155284988281389,8954.784247038027
220,220,0.9156108368526805,8954.673984419216
221,221,0.9156898060535413,8954.530613397581
222,222,0.9157762613382425,8954.460283365335
223,223,0.915892948484207,8954.685357330092
224,224,0.9159767776727676,8954.588978528976
225,225,0.916054556104872,8954.433285925123
226,226,0.9161566095014589,8954.51470126726
227,227,0.916238470749708,8954.398574636896
228,228,0.9163301534820021,8954.378259826124
229,229,0.9164325514214529,8954.462459939015
230,230,0.9165157774220343,8954.359145413275
231,231,0.9166131226015297,8954.393594694344
232,232,0.9166982019769734,8954.308036911076
233,233,0.916826346401493,8954.642925303382
234,234,0.9169199782558995,8954.640507647115
235,235,0.9170291109287992,8954.789268219725
236,236,0.9171088610665273,8954.650919453574
237,237,0.9171901714952686,8954.527644308308
238,238,0.9172689413824001,8954.37940577499
239,239,0.9173679970298352,8954.429019008221
240,240,0.9174328615268071,8954.144728501638
241,241,0.9175415385313549,8954.287874527492
242,242,0.9176243100284545,8954.178017257658
243,243,0.9177064159770071,8954.061500687658
244,244,0.9177797690766757,8953.859427112047
245,245,0.91788100223152,8953.929176768477
246,246,0.9179429116287852,8953.61516002717
247,247,0.9180480545831595,8953.722676349555
248,248,0.9181671623260744,8953.966167003879
249,249,0.9182674540094582,8954.025944046227
250,250,0.9183599328994752,8954.009345769882
251,251,0.9184239490098687,8953.71507889721
252,252,0.9184836849333748,8953.378960730537
253,253,0.9185531073408164,8953.137137250938
254,254,0.9186526921790416,8953.189137976939
255,255,0.9187336295258766,8953.059219729666
256,256,0.9188181050121784,8952.963615238667
257,257,0.9188964311250917,8952.807928451768
258,258,0.9189650975456534,8952.557980289756
259,259,0.9190357909699665,8952.327639838444
260,260,0.919135215649238,8952.377000423578
261,261,0.91920973971429,8952.18365507747
262,262,0.9193135308855362,8952.275163763352
263,263,0.919363088027606,8951.8383881248
264,264,0.9194173930269299,8951.447738510189
265,265,0.9195356881843423,8951.679924474573
266,266,0.9196302693589289,8951.681041939813
267,267,0.9196871711073743,8951.315236388074
268,268,0.9197638986715629,8951.14226187165
269,269,0.9198857568010521,8951.408299431037
270,270,0.9199712258798105,8951.320027810556
271,271,0.9200228069981086,8950.901889284598
272,272,0.9201230906388339,8950.957425734576
273,273,0.9202071127000746,8950.854585233626
274,274,0.9202806088176086,8950.649201360062
